player_id,season,player_name,team,position,position_group,race,race_source,confidence,notes
00-0014512,2000,Kurt Schulz,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0009659,2000,Kwamie Lassiter,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0015914,2000,Kywin Supernaw,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0002583,2000,Lamar Campbell,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0019482,2000,Lamar Chapman,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0014504,2000,Lance Schulters,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0000488,2000,Larry Atkins,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0017501,2000,Larry Whigham,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0011326,2000,Lawyer Milloy,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0002424,2000,LeRoy Butler,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0005346,2000,Lee Flowers,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0019465,2000,Lewis Sanders,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0019561,2000,Lloyd Harrison,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0017460,2000,Lyle West,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0003231,2000,Marcus Coleman,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0013835,2000,Marcus Robertson,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019620,2000,Mario Edwards,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0002688,2000,Mark Carrier,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0019724,2000,Mark Roman,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0013111,2000,Marquez Pope,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0015257,2000,Marquis Smith,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0017052,2000,Marquis Walker,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0002748,2000,Marty Carter,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0019574,2000,Matt Bowen,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0015674,2000,Matt Stevens,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0015674,2000,Matt Stevens,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0009115,2000,Maurice Kelly,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0001478,2000,Michael Booker,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019509,2000,Michael Green,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0019498,2000,Michael Hawthorne,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0015971,2000,Michael Swift,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0019699,2000,Mike Brown,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0004609,2000,Mike Dumas,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0010031,2000,Mike Logan,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0010944,2000,Mike McKenzie,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0011372,2000,Mike Minter,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0018926,2000,Mike Schneck,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0011502,2000,Monty Montgomery,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0011796,2000,Mustafah Muhammad,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0001041,2000,Myron Bell,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0003173,2000,Nakia Codie,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0005155,2000,Nick Ferguson,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0015781,2000,Omar Stoutmire,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0016307,2000,Orlando Thomas,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0015270,2000,Otis Smith,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0019675,2000,Pat Dennis,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0016479,2000,Pat Tillman,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0015915,2000,Patrick Surtain,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0011377,2000,Paul Miranda,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0019190,2000,Payton Williams,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0004875,2000,Percy Ellsworth,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0012908,2000,Perry Phenix,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0015437,2000,Phillippi Sparks,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0013255,2000,Pierson Prioleau,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0011053,2000,R.W. McQuarters,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0007450,2000,Raion Hill,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0019613,2000,Ralph Brown,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0010805,2000,Ramos McDonald,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0019602,2000,Rashard Anderson,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0003422,2000,Rashard Cook,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0019557,2000,Rashidi Barnes,CLE,DB,DB,Other/Unknown,Not classified,Low,
